"Statistic","Year","Age Group","Sex","UNIT","VALUE"
"Full Driving Licences","2018","All ages","Male","Number","1422852"
"Full Driving Licences","2018","All ages","Female","Number","1244276"
"Full Driving Licences","2018","Under 17 years","Male","Number","0"
"Full Driving Licences","2018","Under 17 years","Female","Number","0"
"Full Driving Licences","2018","17 - 20 years","Male","Number","22748"
"Full Driving Licences","2018","17 - 20 years","Female","Number","12889"
"Full Driving Licences","2018","21 - 24 years","Male","Number","56860"
"Full Driving Licences","2018","21 - 24 years","Female","Number","45790"
"Full Driving Licences","2018","25 - 29 years","Male","Number","97743"
"Full Driving Licences","2018","25 - 29 years","Female","Number","89819"
"Full Driving Licences","2018","30 - 39 years","Male","Number","287009"
"Full Driving Licences","2018","30 - 39 years","Female","Number","276073"
"Full Driving Licences","2018","40 - 49 years","Male","Number","312101"
"Full Driving Licences","2018","40 - 49 years","Female","Number","288154"
"Full Driving Licences","2018","50 - 59 years","Male","Number","263884"
"Full Driving Licences","2018","50 - 59 years","Female","Number","233062"
"Full Driving Licences","2018","60 - 69 years","Male","Number","211789"
"Full Driving Licences","2018","60 - 69 years","Female","Number","171931"
"Full Driving Licences","2018","70 - 79 years","Male","Number","127214"
"Full Driving Licences","2018","70 - 79 years","Female","Number","96868"
"Full Driving Licences","2018","80 years and over","Male","Number","43504"
"Full Driving Licences","2018","80 years and over","Female","Number","29690"
"Learner Permit Driving Licences","2018","All ages","Male","Number","119686"
"Learner Permit Driving Licences","2018","All ages","Female","Number","120378"
"Learner Permit Driving Licences","2018","Under 17 years","Male","Number","1345"
"Learner Permit Driving Licences","2018","Under 17 years","Female","Number","104"
"Learner Permit Driving Licences","2018","17 - 20 years","Male","Number","26965"
"Learner Permit Driving Licences","2018","17 - 20 years","Female","Number","24641"
"Learner Permit Driving Licences","2018","21 - 24 years","Male","Number","20392"
"Learner Permit Driving Licences","2018","21 - 24 years","Female","Number","22902"
"Learner Permit Driving Licences","2018","25 - 29 years","Male","Number","19659"
"Learner Permit Driving Licences","2018","25 - 29 years","Female","Number","19607"
"Learner Permit Driving Licences","2018","30 - 39 years","Male","Number","29220"
"Learner Permit Driving Licences","2018","30 - 39 years","Female","Number","29614"
"Learner Permit Driving Licences","2018","40 - 49 years","Male","Number","14261"
"Learner Permit Driving Licences","2018","40 - 49 years","Female","Number","13715"
"Learner Permit Driving Licences","2018","50 - 59 years","Male","Number","5523"
"Learner Permit Driving Licences","2018","50 - 59 years","Female","Number","5591"
"Learner Permit Driving Licences","2018","60 - 69 years","Male","Number","1856"
"Learner Permit Driving Licences","2018","60 - 69 years","Female","Number","2859"
"Learner Permit Driving Licences","2018","70 - 79 years","Male","Number","406"
"Learner Permit Driving Licences","2018","70 - 79 years","Female","Number","1160"
"Learner Permit Driving Licences","2018","80 years and over","Male","Number","59"
"Learner Permit Driving Licences","2018","80 years and over","Female","Number","185"
